year,binned,count,x_values
2010,-5 to -4,0,-4.5
2010,-4 to -3,1,-3.5
2010,-3 to -2,1,-2.5
2010,-2 to -1,1,-1.5
2010,-1 to 0,8,-0.5
2010,0 to 1,22,0.5
2010,1 to 2,13,1.5
2010,2 to 3,16,2.5
2010,3 to 4,12,3.5
2010,4 to 5,6,4.5
2010,5 to 6,6,5.5
2010,6 to 7,2,6.5
2010,7 to 8,9,7.5
2010,8 to 9,7,8.5
2010,9 to 10,3,9.5
2010,10 to 11,3,10.5
2010,11 to 12,3,11.5
2010,12 to 13,1,12.5
2010,13 to 14,1,13.5
2010,14 to 15,0,14.5
2010,15 to 16,3,15.5
2010,16 to 17,4,16.5
2010,17 to 18,2,17.5
2010,18 to 19,2,18.5
2010,19 to 20,0,19.5
2010,20+,14,>20
2022,-5 to -4,2,-4.5
2022,-4 to -3,0,-3.5
2022,-3 to -2,5,-2.5
2022,-2 to -1,3,-1.5
2022,-1 to 0,16,-0.5
2022,0 to 1,18,0.5
2022,1 to 2,18,1.5
2022,2 to 3,9,2.5
2022,3 to 4,3,3.5
2022,4 to 5,16,4.5
2022,5 to 6,3,5.5
2022,6 to 7,4,6.5
2022,7 to 8,7,7.5
2022,8 to 9,0,8.5
2022,9 to 10,1,9.5
2022,10 to 11,3,10.5
2022,11 to 12,2,11.5
2022,12 to 13,6,12.5
2022,13 to 14,0,13.5
2022,14 to 15,1,14.5
2022,15 to 16,3,15.5
2022,16 to 17,0,16.5
2022,17 to 18,0,17.5
2022,18 to 19,1,18.5
2022,19 to 20,0,19.5
2022,20+,8,>20
